date_ref,final_value,var_name,smooth_volatility
2022-01-01,3.1564918195239806,CURVA_EUR_1Y,35
2020-01-01,3.156220773297243,CURVA_EUR_30Y,40
2020-01-01,3.155802043250535,CURVA_EUR_20Y,35
2022-01-01,3.1536461418599098,EURIBOR_3M,10
2017-01-01,3.153518816182955,BONO_10Y_ITA,20
2021-01-01,3.1513039415292057,ESTR,35
2015-01-01,3.149412374640132,BONO_10Y_ALE,20
2020-01-01,3.148926601719456,BONO_10Y_ALE,20
2022-01-01,3.1435828332695768,EURIBOR_6M,10
2018-01-01,3.1400209318944525,BONO_10Y_POR,30
2024-01-01,3.1354583940122027,BONO_10Y_ITA,35
2021-01-01,3.1301856154060874,FACILIDAD_DEPOSITO,30
2020-01-01,3.1295760212777592,BONO_10Y_POR,15
2022-01-01,3.1287420317094887,BONO_10Y_ESP,25
2022-01-01,3.127656456856037,CURVA_EUR_1Y,30
2021-01-01,3.127360582263309,BONO_10Y_ESP,15
2022-01-01,3.1233529645858624,EURIBOR_12M,20
2019-01-01,3.122954622479671,BONO_10Y_ITA,25
2023-01-01,3.1170516532303916,ESTR,35
2021-01-01,3.1152720875571873,ESTR,30
2022-01-01,3.1147605699834564,EURIBOR_1M,15
2023-01-01,3.1105949728996376,ESTR,40
2018-01-01,3.1097750801570907,BONO_10Y_ESP,15
2017-01-01,3.1016747337332657,BONO_10Y_ESP,15
2021-01-01,3.0997187649376663,FACILIDAD_DEPOSITO,25
2020-01-01,3.097395902491623,FACILIDAD_DEPOSITO,40
2023-01-01,3.0950253003037567,ESTR,20
2022-01-01,3.0905094748056974,CURVA_EUR_1Y,25
2020-01-01,3.0896554328793537,CURVA_EUR_30Y,35
2020-01-01,3.085864403151995,CURVA_EUR_20Y,30
2021-01-01,3.083712192119444,BONO_10Y_POR,20
2024-01-01,3.083312437569251,BONO_10Y_ESP,40
2022-01-01,3.080281273981682,BONO_10Y_ESP,20
2021-01-01,3.0761800405698447,EURIBOR_3M,40
2020-01-01,3.0736505666577387,ESTR,40
2022-01-01,3.0729471158094195,EURIBOR_12M,15
2021-01-01,3.072012804080468,BONO_10Y_ALE,40
2000-01-01,3.0695554666141827,ESTR,40
2013-01-01,3.0695554666141827,ESTR,40
2001-01-01,3.0695554666141827,ESTR,40
2006-01-01,3.0695554666141827,ESTR,40
2007-01-01,3.0695554666141827,ESTR,40
2002-01-01,3.0695554666141827,ESTR,40
2008-01-01,3.0695554666141827,ESTR,40
2004-01-01,3.0695554666141827,ESTR,40
2005-01-01,3.0695554666141827,ESTR,40
2011-01-01,3.0695554666141827,ESTR,40
2010-01-01,3.0695554666141827,ESTR,40
2003-01-01,3.0695554666141827,ESTR,40
2014-01-01,3.0695554666141827,ESTR,40
2009-01-01,3.0695554666141827,ESTR,40
2012-01-01,3.0695554666141827,ESTR,40
2018-01-01,3.0695554666141827,ESTR,40
2017-01-01,3.0695554666141827,ESTR,40
2016-01-01,3.0695554666141827,ESTR,40
2019-01-01,3.0695554666141827,ESTR,40
2015-01-01,3.0695554666141827,ESTR,40
2021-01-01,3.0687214192029795,EURIBOR_1M,40
2021-01-01,3.0674599770696434,FACILIDAD_DEPOSITO,20
2020-01-01,3.066487123950136,CURVA_EUR_10Y,40
2020-01-01,3.064561387821384,FACILIDAD_DEPOSITO,35
2020-01-01,3.0624118359221337,BONO_10Y_ESP,10
2022-01-01,3.06233261048367,EURIBOR_1M,10
2024-01-01,3.0587158081749655,BONO_10Y_ITA,30
2022-01-01,3.0577674774000108,ESTR,15
2019-01-01,3.0569341556732477,BONO_10Y_ALE,15
2019-01-01,3.054770491048049,CURVA_EUR_20Y,40
2024-01-01,3.05442309003497,BONO_10Y_ALE,35
2020-01-01,3.0542969138824176,ESTR,35
2021-01-01,3.053816745559149,EURIBOR_1M,35
2021-01-01,3.052014502648572,EURIBOR_3M,35
2021-01-01,3.0503390899069185,ESTR,25
2010-01-01,3.050181672242205,ESTR,35
2002-01-01,3.050181672242205,ESTR,35
2011-01-01,3.050181672242205,ESTR,35
2012-01-01,3.050181672242205,ESTR,35
2006-01-01,3.050181672242205,ESTR,35
2019-01-01,3.050181672242205,ESTR,35
2008-01-01,3.050181672242205,ESTR,35
2014-01-01,3.050181672242205,ESTR,35
2015-01-01,3.050181672242205,ESTR,35
2016-01-01,3.050181672242205,ESTR,35
2005-01-01,3.050181672242205,ESTR,35
2009-01-01,3.050181672242205,ESTR,35
2018-01-01,3.050181672242205,ESTR,35
2001-01-01,3.050181672242205,ESTR,35
2003-01-01,3.050181672242205,ESTR,35
2017-01-01,3.050181672242205,ESTR,35
2000-01-01,3.050181672242205,ESTR,35
2007-01-01,3.050181672242205,ESTR,35
2013-01-01,3.050181672242205,ESTR,35
2004-01-01,3.050181672242205,ESTR,35
2022-01-01,3.0489783088463147,CURVA_EUR_1Y,20
2022-01-01,3.0447246476427385,EURIBOR_3M,5
2024-01-01,3.0444052075949166,BONO_10Y_ITA,0
2021-01-01,3.035006431306312,FACILIDAD_DEPOSITO,15
2020-01-01,3.0323253160409114,FACILIDAD_DEPOSITO,30
2021-01-01,3.030993608511724,EURIBOR_3M,30
2021-01-01,3.0309321682872095,EURIBOR_1M,30
2019-01-01,3.0305404426950306,FACILIDAD_DEPOSITO,40
2018-01-01,3.030359896690006,BONO_10Y_POR,25
2021-01-01,3.0276877856794484,EURIBOR_6M,40
2019-01-01,3.0191597690255905,BONO_10Y_POR,20
2020-01-01,3.018529252575755,ESTR,30
2020-01-01,3.0162371608757526,BONO_10Y_ITA,10
2020-01-01,3.0146428172160618,CURVA_EUR_30Y,30
2008-01-01,3.0146049687140413,ESTR,30
2006-01-01,3.0146049687140413,ESTR,30
2009-01-01,3.0146049687140413,ESTR,30
2003-01-01,3.0146049687140413,ESTR,30
2017-01-01,3.0146049687140413,ESTR,30
2016-01-01,3.0146049687140413,ESTR,30
2018-01-01,3.0146049687140413,ESTR,30
2004-01-01,3.0146049687140413,ESTR,30
2007-01-01,3.0146049687140413,ESTR,30
2005-01-01,3.0146049687140413,ESTR,30
2011-01-01,3.0146049687140413,ESTR,30
2014-01-01,3.0146049687140413,ESTR,30
2000-01-01,3.0146049687140413,ESTR,30
2012-01-01,3.0146049687140413,ESTR,30
2002-01-01,3.0146049687140413,ESTR,30
2013-01-01,3.0146049687140413,ESTR,30
2010-01-01,3.0146049687140413,ESTR,30
2019-01-01,3.0146049687140413,ESTR,30
2001-01-01,3.0146049687140413,ESTR,30
2015-01-01,3.0146049687140413,ESTR,30
2022-01-01,3.013727559819765,BONO_10Y_ESP,15
2022-01-01,3.013179232084171,EURIBOR_6M,5
2016-01-01,3.008416517598118,BONO_10Y_ITA,15
2021-01-01,3.0074830862135125,EURIBOR_3M,25
2022-01-01,3.0072933028933146,BONO_10Y_POR,40
2021-01-01,3.0062046104412397,EURIBOR_6M,35
2017-01-01,3.0057450166027313,BONO_10Y_ALE,15
2021-01-01,3.003832629465456,FACILIDAD_DEPOSITO,10
2020-01-01,3.002498377129673,CURVA_EUR_10Y,35
2020-01-01,3.0011243548362576,FACILIDAD_DEPOSITO,25
2018-01-01,3.000134791068033,FACILIDAD_DEPOSITO,40
2019-01-01,2.997888078888261,FACILIDAD_DEPOSITO,35
2021-01-01,2.9960649751386015,EURIBOR_1M,25
2022-01-01,2.9927468668437402,CURVA_EUR_1Y,15
2020-01-01,2.992256261680201,CURVA_EUR_20Y,25
2024-01-01,2.991581910013554,BONO_10Y_POR,35
2024-01-01,2.985750724367999,BONO_10Y_ESP,35
2019-01-01,2.984452138977652,CURVA_EUR_10Y,40
2017-01-01,2.984352841871328,FACILIDAD_DEPOSITO,40
2022-01-01,2.982092415657332,BONO_10Y_POR,35
2022-01-01,2.982047155062364,EURIBOR_12M,10
